"Фамилия,""Имя, отчество"",Login,Password,Role"
Яковлев ,Ефим Ильяович,loginDEsar2021,2M2IQH,Менеджер
Филатов , Константин Вадимович,loginDEejw2021,4}szdy,Директор
Баранова ,Галина Еремеевна,loginDEudz2021,Xcjvmi,Менеджер
Большаков ,Владимир Филатович,loginDEttt2020,1YOnW3,Мастер
Кузнецов ,Созон Викторович,loginDEmge2020,C947}j,Менеджер
Лебедева ,Евдокия Ивановна,loginDEzhf2018,xws6L9,Менеджер
Савин ,Пётр Артёмович,loginDEloi2021,azEz+L,Менеджер
Горбачёв ,Ириней Викторович,loginDEdwi2022,n*aog&,Замерщик
Громова ,Маргарита Митрофановна,loginDEycc2022,YeTO&L,Мастер
Копылова ,Иванна Геласьевна,loginDEmoq2021,*bhJb4,Мастер
Артемьев ,Даниил Дамирович,loginDEdfh2018,t0CrUG,Мастер
Абрамова ,Милица Аристарховна,loginDEufs2018,7CLi&1,Замерщик
Владимиров ,Протасий Витальевич,loginDEzsy2018,a6}lPi,Мастер
Путин ,Станислав Протасьевич,loginDEaul2022,MTZb+A,Мастер
Павлов ,Константин Гордеевич,loginDEquw2018,65j6kZ,Мастер
Никитин ,Борис Евгеньевич,loginDEjrd2018,8tl2a+,Менеджер
